Date,League,Home_Team,Away_Team,FTR,FTHG,FTAG,HS,AS,HST,AST,Home_ELO,Away_ELO,Home_Win_Streak,Away_Win_Streak,Home_Loss_Streak,Away_Loss_Streak,Home_Unbeaten_Streak,Away_Unbeaten_Streak,Home_Winless_Streak,Away_Winless_Streak,Home_Points_Last_5,Away_Points_Last_5,Home_Points_Last_10,Away_Points_Last_10,Home_Points_Last_20,Away_Points_Last_20,Home_Net_FTG,Away_Net_FTG,Home_Net_S,Away_Net_S,Home_Net_ST,Away_Net_ST,FTHG_Conceded,FTAG_Conceded,HST_Conceded,AST_Conceded,HS_Conceded,AS_Conceded
2023-08-28,SP1,Getafe,Alaves,2,1,0,15,16,4,2,945.468405035509,1000,0,0,0,1,1,0,1,1,1,3,1,3,1,3,1,-1,-1,1,2,-2,0,1,2,4,16,15
2023-08-28,SP1,Vallecano,Ath Madrid,0,0,7,12,17,3,10,1076.87213489109,1043.31176645245,0,0,0,0,0,1,0,1,6,4,6,4,6,4,-7,7,-5,5,-7,7,7,0,10,3,17,12
2023-09-01,SP1,Cadiz,Villarreal,2,3,1,18,7,4,3,981.334293437101,975.055803702031,0,1,0,0,2,1,1,0,4,3,4,3,4,3,2,-2,11,-11,1,-1,1,3,3,4,7,18
2023-09-01,SP1,Almeria,Celta,0,2,3,16,14,5,8,925.907901349725,936.67941628049,0,0,2,0,0,1,2,1,1,1,1,1,1,1,-1,1,2,-2,-3,3,3,2,8,5,14,16
2023-09-02,SP1,Sociedad,Granada,2,5,3,15,8,6,5,996.747665514172,958.971404608451,0,0,0,1,2,0,2,1,3,3,3,3,3,3,2,-2,7,-7,1,-1,3,5,5,6,8,15
2023-09-02,SP1,Real Madrid,Getafe,2,2,1,26,6,12,2,1098.34415866682,982.450109916722,0,0,0,1,0,0,0,1,9,4,9,4,9,4,1,-1,20,-20,10,-10,1,2,2,12,6,26
2023-09-02,SP1,Alaves,Valencia,2,1,0,7,9,1,4,963.018295118787,1022.53134361731,1,1,0,0,1,1,0,0,3,6,3,6,3,6,1,-1,-2,2,-3,3,0,1,4,1,9,7
2023-09-02,SP1,Betis,Vallecano,2,1,0,14,15,5,6,985.95220157576,976.130913666253,0,2,0,0,1,2,1,0,4,6,4,6,4,6,1,-1,-1,1,-1,1,0,1,6,5,15,14
2023-09-03,SP1,Girona,Las Palmas,2,1,0,11,10,6,5,1076.01915306503,972.182279462086,1,0,0,1,1,0,0,1,7,2,7,2,7,2,1,-1,1,-1,1,-1,0,1,5,6,10,11
2023-09-03,SP1,Mallorca,Athletic Club,1,0,0,8,11,2,3,929.217457442504,1057.43675115712,0,1,1,0,0,1,1,0,1,6,1,6,1,6,0,0,-3,3,-1,1,0,0,3,2,11,8
2023-09-03,SP1,Osasuna,Barcelona,0,1,2,11,9,3,4,1027.68655216489,1075.768869678,0,1,1,0,0,2,1,0,6,7,6,7,6,7,-1,1,2,-2,-1,1,2,1,4,3,9,11
2023-09-15,SP1,Vallecano,Alaves,2,2,0,20,9,11,1,945.035246847369,1000.44666166963,0,0,1,2,0,0,1,2,6,6,6,6,6,6,2,-2,11,-11,10,-10,0,2,1,11,9,20
2023-09-16,SP1,Athletic Club,Cadiz,2,3,0,20,5,9,4,1051.78625643437,1024.39944907174,1,0,0,1,1,0,0,1,7,7,7,7,7,7,3,-3,15,-15,5,-5,0,3,4,9,5,20
2023-09-16,SP1,Valencia,Ath Madrid,2,3,0,12,11,8,3,985.10297706646,1144.05298767729,0,1,1,0,0,2,1,0,6,7,6,7,6,7,3,-3,1,-1,5,-5,0,3,3,8,11,12
2023-09-16,SP1,Celta,Mallorca,0,0,1,16,7,4,4,967.687640830217,934.867952165257,0,0,2,1,0,0,2,2,4,2,4,2,4,2,-1,1,9,-9,0,0,1,0,4,4,7,16
2023-09-16,SP1,Barcelona,Betis,2,5,0,17,11,9,2,1103.36838200581,1017.04786839464,1,0,0,1,1,0,0,1,10,7,10,7,10,7,5,-5,6,-6,7,-7,0,5,2,9,11,17
2023-09-17,SP1,Getafe,Osasuna,2,3,2,11,8,6,3,960.745304212917,1000.08703983707,1,2,0,0,2,2,0,0,4,6,4,6,4,6,1,-1,3,-3,3,-3,2,3,3,6,8,11
